"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"060374047031",0,34,14,9,76,58,51,43,20,59,14,27,0
"060374047032",5,31,17,22,23,36,25,14,50,47,27,23,0
"060374070011",0,47,33,79,50,19,7,32,0,29,0,0,0
"060374070012",0,63,92,25,21,50,0,0,36,45,48,47,0
"060374070013",9,165,16,11,94,125,0,6,25,9,0,35,0
"060374070021",6,10,54,38,105,92,0,0,6,15,1,16,23
"060374070022",24,56,46,55,53,114,0,5,0,0,0,26,23
"060374071011",0,58,56,27,7,0,20,22,0,20,0,49,5
"060374071012",27,26,44,35,74,40,25,0,0,0,16,0,4
"060374071013",94,12,52,115,17,14,10,99,44,44,21,28,5
"060374071021",11,10,59,111,21,35,17,0,0,0,0,17,9
"060374071022",0,162,68,35,144,25,0,19,21,43,47,51,8
"060374071023",0,88,96,57,41,38,0,8,25,7,57,18,9
"060374073011",32,37,19,31,24,59,0,0,21,0,22,0,4
"060374073012",30,43,36,112,14,14,0,12,0,24,0,21,5
"060374073013",34,17,45,14,61,14,0,0,0,0,0,0,5
"060374073014",10,0,27,12,0,18,19,29,13,23,0,37,5
"060374073021",20,91,17,39,29,30,0,0,17,6,3,88,0
"060374073022",16,46,14,62,19,67,14,0,0,22,0,28,0
"060374073023",0,23,54,0,13,29,0,0,6,0,28,0,0
"060374075011",0,14,29,53,23,67,0,0,0,19,0,13,6
"060374075012",0,0,0,0,11,0,11,15,30,75,101,5,5
"060374075013",18,14,19,22,59,39,8,0,20,0,15,20,5
"060374075021",28,9,22,0,32,51,0,57,44,0,6,36,3
"060374075022",17,46,24,35,32,66,15,14,8,41,7,4,2
"060374075023",15,17,51,17,40,21,12,13,19,0,17,24,3
"060374076011",12,27,44,36,32,40,0,31,20,57,59,131,0
"060374076012",0,17,20,5,31,13,117,109,88,10,20,25,0
"060374076013",0,40,7,10,0,19,45,32,37,0,0,0,0
"060374076021",30,12,22,13,10,17,18,10,33,30,22,29,0
"060374076022",4,22,43,4,74,35,0,29,8,15,0,0,0
"060374076023",18,39,17,55,61,22,0,4,0,120,0,0,0
"060374076024",5,33,29,45,40,8,34,5,31,0,0,9,0
"060374077011",0,19,18,0,0,0,128,147,56,100,48,38,0
"060374077012",10,88,46,41,19,52,0,37,0,0,0,12,1
"060374077013",7,34,0,41,29,65,0,0,8,16,38,28,1
"060374077021",9,56,106,0,6,131,18,0,33,31,13,0,6
"060374077022",87,48,131,63,0,21,0,72,116,72,9,0,6
"060374077023",35,31,34,14,70,52,0,0,0,14,0,0,6
"060374078011",0,52,36,40,73,96,0,0,5,0,0,0,7
"060374078012",29,107,9,47,19,152,14,12,0,0,0,19,7
"060374078013",15,116,20,64,19,39,0,0,0,0,13,34,6
"060374078021",0,0,0,0,0,0,0,0,1,2,0,0,9
"060374078022",23,69,31,53,41,26,0,0,6,3,37,0,9
"060374083011",20,42,23,74,10,0,0,0,0,0,9,0,93
"060374083012",20,86,9,116,86,69,31,35,49,35,13,38,92
"060374083021",96,166,177,131,79,35,39,68,20,121,54,5,0
"060374083031",148,318,127,105,14,85,0,29,7,0,0,15,0
"060374340041",61,62,52,59,95,94,43,84,30,17,80,46,0
