"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"06037404703",24,45,26,9,22,199,45,90,73,66,64,62,0
"06037407001",98,149,77,225,114,236,20,0,55,134,44,66,0
"06037407002",31,72,100,46,240,164,0,11,0,15,0,43,46
"06037407101",153,52,113,67,132,181,30,134,89,63,59,23,14
"06037407102",88,158,103,124,133,395,8,64,86,55,57,60,26
"06037407301",147,159,58,36,126,177,19,41,22,70,45,24,19
"06037407302",50,73,56,121,70,199,27,33,22,49,75,6,0
"06037407501",36,134,52,189,77,83,12,120,93,36,43,60,16
"06037407502",25,41,81,60,113,203,19,32,50,42,100,74,8
"06037407601",24,83,37,31,50,128,56,235,115,172,90,113,0
"06037407602",54,67,60,77,140,260,70,72,56,29,131,39,0
"06037407701",0,97,67,86,54,165,175,183,80,62,38,118,2
"06037407702",82,206,311,105,169,459,19,104,34,55,136,103,18
"06037407801",47,194,107,118,125,342,0,17,0,45,3,32,20
"06037407802",14,84,108,60,166,191,0,6,11,12,52,51,18
"06037408301",86,173,154,117,249,223,58,149,63,109,19,55,185
"06037408302",36,49,107,128,82,282,91,99,0,36,70,11,0
"06037408303",114,117,100,144,199,501,7,45,0,0,29,0,0
"06037434004",38,57,15,45,118,150,86,66,19,21,78,30,0
