"geoid","MC","NS","SM","NF","GQ"
"06037404703",425,193,81,26,0
"06037407001",753,388,16,61,0
"06037407002",435,254,30,3,46
"06037407101",439,461,176,20,14
"06037407102",776,506,28,21,26
"06037407301",507,263,125,29,19
"06037407302",480,205,50,46,0
"06037407501",557,285,37,56,16
"06037407502",491,238,87,24,8
"06037407601",522,429,174,9,0
"06037407602",556,316,109,74,0
"06037407701",574,334,145,72,2
"06037407702",1037,488,186,72,18
"06037407801",621,287,58,64,20
"06037407802",456,220,53,26,18
"06037408301",822,392,147,94,185
"06037408302",466,377,135,13,0
"06037408303",740,283,184,49,0
"06037434004",423,196,104,0,0
